datasetkey	datasetname	publisher	COUNT(*)
e7cbb0ed-04c6-44ce-ac86-ebe49f4efb28	Waarnemingen.be - Bird occurrences in Flanders and the Brussels Capital Region, Belgium	Natuurpunt	12811851
4fa7b334-ce0d-4e88-aaae-2e0c138d049e		Cornell Lab of Ornithology	1245672
7f9eb622-c036-44c6-8be9-5793eaa1fa1e	Watervogels - Wintering waterbirds in Flanders, Belgium	Research Institute for Nature and Forest (INBO)	1074842
9a0b66df-7535-4f28-9f4e-5bc11b8b096c	Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium	Natuurpunt	1061702
6c860eb3-83ba-48c3-9328-a7b3c7a3c7b4	HG_OOSTENDE - Herring gulls (Larus argentatus, Laridae) breeding at the southern North Sea coast (Belgium)	Research Institute for Nature and Forest (INBO)	937170
355b8ff9-7bd9-49c3-92af-f6741b8bd0cb	LBBG_ZEEBRUGGE - Lesser black-backed gulls (Larus fuscus, Laridae) breeding at the southern North Sea coast (Belgium and the Netherlands)	Research Institute for Nature and Forest (INBO)	573769
0b499d5e-c359-4cce-b817-d6f588988441	HG_JUVENILE - Juvenile herring gulls (Larus argentatus, Laridae) hatched at the southern North Sea coast (Belgium)	Ghent University	452674
81c5a091-6e94-40db-a2a4-48f4de42d410	Broedvogels - Atlas of the breeding birds in Flanders 2000-2002	Research Institute for Nature and Forest (INBO)	330046
8ae09016-b819-450e-b8f6-c1f249110502	Broedvogels - Algemene broedvogels	Research Institute for Nature and Forest (INBO)	309896
99047b1e-ee53-4053-ba69-2e28eaaa45d9	ABV - Common breeding birds in Flanders, Belgium (post 2016)	Research Institute for Nature and Forest (INBO)	285661
3470d506-e667-4e3f-b178-819669684c05	European Seabirds At Sea (ESAS)	Flanders Marine Institute	282399
ab6a6c25-1562-426d-9fdd-c4d9529f076c	Meetnet Agrarische Soorten - Monitoring of birds and mammals in agricultural areas in Flanders, Belgium	Research Institute for Nature and Forest (INBO)	257665
39ca385b-6f25-402c-aa92-a76c89ecda0a	DELTATRACK - Herring gulls (Larus argentatus, Laridae) and lesser black-backed gulls (Larus fuscus, Laridae) breeding at Neeltje Jans (Netherlands)	Research Institute for Nature and Forest (INBO)	182149
629befd5-fb45-4365-95c4-d07e72479b37	Observations.be - Non-native species occurrences in Wallonia, Belgium	Natagora	177634
280674cb-42f8-4959-b6aa-eee663157965	INBO collaborator Occurrences of vertebrates recorded in waarnemingen.be in Flanders, Belgium	Research Institute for Nature and Forest (INBO)	118443
df50c722-070a-4c6a-a260-3a186ce72fe1	LBBG_ADULT - Lesser black-backed gulls (Larus fuscus, Laridae) breeding in Belgium	Research Institute for Nature and Forest (INBO)	110262
e2fb42ca-e408-4aa2-a7bd-a9bb4ddcc83a	BOP_RODENT - Rodent specialized birds of prey (Circus, Asio, Buteo) in Flanders (Belgium)	Research Institute for Nature and Forest (INBO)	107123
dde71542-ad2d-4ec7-a93c-eb18bc0f432b		Belgian Biodiversity Platform	96246
2f59780e-3d77-403a-9437-9a560ea5f764		Natagora	81329
83de99ee-92bd-4dc2-a038-a4856f13cd29	LBBG_JUVENILE - Juvenile lesser black-backed gulls (Larus fuscus, Laridae) and herring gulls (Larus argentatus, Laridae) hatched in Zeebrugge (Belgium)	Research Institute for Nature and Forest (INBO)	72069
50c9509d-22c7-4a22-a47d-8c48425ef4a7	iNaturalist research-grade observations	iNaturalist.org	66115
8a5cbaec-2839-4471-9e1d-98df301095dd	MICA - Muskrat and coypu camera trap observations in Belgium, the Netherlands and Germany	Research Institute for Nature and Forest (INBO)	50709
ebce3c1f-4307-4539-afb2-3876ec9ae737	MEDGULL_ANTWERPEN - Mediterranean gulls (Ichthyaetus melanocephalus, Laridae) breeding near Antwerp (Belgium)	Research Institute for Nature and Forest (INBO)	48003
66e0553e-75f6-49de-b614-22efd9fbf6e9	MH_WATERLAND - Western marsh harriers (Circus aeruginosus, Accipitridae) breeding near the Belgium-Netherlands border	Research Institute for Nature and Forest (INBO)	27115
2b2bf993-fc91-4d29-ae0b-9940b97e3232	Zomerganzen - Summering geese management and population counts in Flanders, Belgium	Research Institute for Nature and Forest (INBO)	26224
0c4bf92b-95c9-4a2a-9756-67d98195459f		Royal Belgian Institute of Natural Sciences	25113
c0cc29de-f49f-4b66-b4ec-c83afbb7101d		Meise Botanic Garden	24577
8138eb72-f762-11e1-a439-00145eb45e9a	Royal Belgian Institute of Natural Sciences Collection	Royal Belgian Institute of Natural Sciences	24524
88216808-1942-44ed-b059-b576bf79a28e	CURLEW_VLAANDEREN - Eurasian curlews (Numenius arquata, Scolopacidae) breeding in Flanders (Belgium)	Research Institute for Nature and Forest (INBO)	23769
6850e626-46fd-4843-a391-2c06b069a940	SPOONBILL_VLAANDEREN - Eurasian spoonbills (Platalea leucorodia, Threskiornithidae) in Flanders (Belgium)	Research Institute for Nature and Forest (INBO)	19785
e347ea47-db3f-4c47-8771-ea562330382c	MH_ANTWERPEN - Western marsh harriers (Circus aeruginosus, Accipitridae) breeding near Antwerp (Belgium)	Research Institute for Nature and Forest (INBO)	15280
e89c4d84-f5c7-43ea-882b-1569609ff4e6		Royal Belgian Institute of Natural Sciences	12175
a78e0e05-7ad8-4acb-9601-ced356fd8a24		Flanders Marine Institute	11761
b1047888-ae52-4179-9dd5-5448ea342a24		Xeno-canto Foundation for Nature Sounds	11249
6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b		Birda	11246
8db58232-363c-4396-9c99-6fb70c1adbc3		Belgian Biodiversity Platform	7296
6ac3f774-d9fb-4796-b3e9-92bf6c81c084		naturgucker.de	6614
c779b049-28f3-4daf-bbf4-0a40830819b6	EBCC Atlas of European Breeding Birds	European Bird Census Council (EBCC)	5988
20bbd36e-d1a1-4169-8663-59feaa2641c0	O_WESTERSCHELDE - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in East Flanders (Belgium)	Research Institute for Nature and Forest (INBO)	5959
