taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
59PMS	Turdus pilaris Linnaeus, 1758	59PMS	Turdus pilaris Linnaeus, 1758	3499	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Passeriformes	3RL	Turdidae	T4K9X	Turdus	647VS	Turdus pilaris	59PMS	LC
3SBQ4	Larus delawarensis Ord, 1815	3SBQ4	Larus delawarensis Ord, 1815	81	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Charadriiformes	X3	Laridae	BSK	Larus	62XFH	Larus delawarensis	3SBQ4	LC
6HNPP	Falco subbuteo Linnaeus, 1758	6HNPP	Falco subbuteo Linnaeus, 1758	2093	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Falconiformes	386	Falconidae	623R8	Falco	62SZ6	Falco subbuteo	6HNPP	LC
C5KM	Alopochen aegyptiaca (Linnaeus, 1766)	C5KM	Alopochen aegyptiaca (Linnaeus, 1766)	10340	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Anseriformes	PQ	Anatidae	9H6K5	Alopochen	6294B	Alopochen aegyptiaca	C5KM	LC
39FTD	Emberiza leucocephalos S. G. Gmelin, 1771	39FTD	Emberiza leucocephalos S. G. Gmelin, 1771	49	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Passeriformes	3RL	Emberizidae	9N5	Emberiza	4B69	Emberiza leucocephalos	39FTD	LC
532G9	Strix aluco Linnaeus, 1758	532G9	Strix aluco Linnaeus, 1758	1629	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Strigiformes	466	Strigidae	GQX	Strix	7PCR	Strix aluco	532G9	LC
7436N	Morus bassanus (Linnaeus, 1758)	7436N	Morus bassanus (Linnaeus, 1758)	709	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Suliformes	46J	Sulidae	626M3	Morus	5VCR	Morus bassanus	7436N	LC
3FJY7	Gelochelidon nilotica (J. F. Gmelin, 1789)	3FJY7	Gelochelidon nilotica (J. F. Gmelin, 1789)	71	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Charadriiformes	X3	Laridae	BSK	Gelochelidon	4MNJ	Gelochelidon nilotica	3FJY7	LC
44B89	Monticola solitarius (Linnaeus, 1758)	44B89	Monticola solitarius (Linnaeus, 1758)	37	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Passeriformes	3RL	Muscicapidae	CZN	Monticola	63CZN	Monticola solitarius	44B89	LC
4PKCF	Psittacula eupatria (Linnaeus, 1766)	4PKCF	Psittacula eupatria (Linnaeus, 1766)	98	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Psittaciformes	3X7	Psittaculidae	C3KV6	Psittacula	642T9	Psittacula eupatria	4PKCF	LC
4QBMM	Ptyonoprogne rupestris (Scopoli, 1769)	4QBMM	Ptyonoprogne rupestris (Scopoli, 1769)	38	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Passeriformes	3RL	Hirundinidae	B3Y	Ptyonoprogne	759N	Ptyonoprogne rupestris	4QBMM	LC
55TXX	Tetrax tetrax (Linnaeus, 1758)	55TXX	Tetrax tetrax (Linnaeus, 1758)	23	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Otidiformes	3QM	Otididae	DRT	Tetrax	64774	Tetrax tetrax	55TXX	NT
