taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
59PMS	Turdus pilaris Linnaeus, 1758	59PMS	Turdus pilaris Linnaeus, 1758	150	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Passeriformes	3RL	Turdidae	T4K9X	Turdus	647VS	Turdus pilaris	59PMS	LC
C5KM	Alopochen aegyptiaca (Linnaeus, 1766)	C5KM	Alopochen aegyptiaca (Linnaeus, 1766)	1584	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Anseriformes	PQ	Anatidae	9H6K5	Alopochen	6294B	Alopochen aegyptiaca	C5KM	LC
7436N	Morus bassanus (Linnaeus, 1758)	7436N	Morus bassanus (Linnaeus, 1758)	37	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Suliformes	46J	Sulidae	626M3	Morus	5VCR	Morus bassanus	7436N	LC
4KPP4	Podiceps nigricollis C. L. Brehm, 1831	4KPP4	Podiceps nigricollis C. L. Brehm, 1831	85	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Podicipediformes	3V6	Podicipedidae	627FZ	Podiceps	6TBH	Podiceps nigricollis	4KPP4	LC
7JSWQ	Galerida cristata cristata (Linnaeus, 1758)	7JSWQ	Galerida cristata cristata (Linnaeus, 1758)	1	SUBSPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Passeriformes	3RL	Alaudidae	667	Galerida	62SST	Galerida cristata	3F4BG	
3DTGL	Falco peregrinus Tunstall, 1771	3DTGL	Falco peregrinus Tunstall, 1771	222	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Falconiformes	386	Falconidae	623R8	Falco	62SZ6	Falco peregrinus	3DTGL	LC
3LXZ5	Himantopus himantopus (Linnaeus, 1758)	3LXZ5	Himantopus himantopus (Linnaeus, 1758)	37	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Charadriiformes	X3	Recurvirostridae	FKR	Himantopus	6375G	Himantopus himantopus	3LXZ5	LC
DDBNS	Curruca communis (Latham, 1787)	DDBNS	Curruca communis (Latham, 1787)	183	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Passeriformes	3RL	Sylviidae	626LT	Curruca	DDBLS	Curruca communis	DDBNS	LC
DRXBF	Anas platyrhynchos f. domesticus	DRXBF	Anas platyrhynchos f. domesticus	360	FORM	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Anseriformes	PQ	Anatidae	9H6K5	Anas	V8R			
532G9	Strix aluco Linnaeus, 1758	532G9	Strix aluco Linnaeus, 1758	158	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Strigiformes	466	Strigidae	GQX	Strix	7PCR	Strix aluco	532G9	LC
4F6YZ	Pernis apivorus (Linnaeus, 1758)	4F6YZ	Pernis apivorus (Linnaeus, 1758)	111	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Accipitriformes	MB	Accipitridae	5W6	Pernis	6LNQ	Pernis apivorus	4F6YZ	LC
34GHX	Delichon urbicum (Linnaeus, 1758)	34GHX	Delichon urbicum (Linnaeus, 1758)	165	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Passeriformes	3RL	Hirundinidae	B3Y	Delichon	42MV	Delichon urbicum	34GHX	LC
DDBMF	Curruca curruca (Linnaeus, 1758)	DDBMF	Curruca curruca (Linnaeus, 1758)	29	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Passeriformes	3RL	Sylviidae	626LT	Curruca	DDBLS	Curruca curruca	DDBMF	LC
3M4S7	Hirundo rustica Linnaeus, 1758	3M4S7	Hirundo rustica Linnaeus, 1758	280	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Passeriformes	3RL	Hirundinidae	B3Y	Hirundo	6376D	Hirundo rustica	3M4S7	LC
9H6K5	Anatidae Leach, 1820	9H6K5	Anatidae Leach, 1820	71	FAMILY	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Anseriformes	PQ	Anatidae	9H6K5					
6HNPP	Falco subbuteo Linnaeus, 1758	6HNPP	Falco subbuteo Linnaeus, 1758	74	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Falconiformes	386	Falconidae	623R8	Falco	62SZ6	Falco subbuteo	6HNPP	LC
DJ4G8	Anser anser f. domesticus	DJ4G8	Anser anser f. domesticus	186	FORM	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Anseriformes	PQ	Anatidae	9H6K5	Anser	X5D	Anser anser	679X7	
5HDPW	Fulica atra atra Linnaeus, 1758	5HDPW	Fulica atra atra Linnaeus, 1758	56	SUBSPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Gruiformes	6223K	Rallidae	FJ9	Fulica	4LC2	Fulica atra	6K3W6	
4PKCF	Psittacula eupatria (Linnaeus, 1766)	4PKCF	Psittacula eupatria (Linnaeus, 1766)	60	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Psittaciformes	3X7	Psittaculidae	C3KV6	Psittacula	642T9	Psittacula eupatria	4PKCF	LC
58VJC	Tringa ochropus Linnaeus, 1758	58VJC	Tringa ochropus Linnaeus, 1758	61	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Charadriiformes	X3	Scolopacidae	G4X	Tringa	8288	Tringa ochropus	58VJC	LC
5Z6WQ	Circus aeruginosus (Linnaeus, 1758)	5Z6WQ	Circus aeruginosus (Linnaeus, 1758)	204	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Accipitriformes	MB	Accipitridae	5W6	Circus	3Q54	Circus aeruginosus	5Z6WQ	LC
3FFP5	Gavia arctica (Linnaeus, 1758)	3FFP5	Gavia arctica (Linnaeus, 1758)	6	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Gaviiformes	396	Gaviidae	6247R	Gavia	4MHK	Gavia arctica	3FFP5	LC
5JXDQ	Numenius arquata arquata (Linnaeus, 1758)	5JXDQ	Numenius arquata arquata (Linnaeus, 1758)	13	SUBSPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Charadriiformes	X3	Scolopacidae	G4X	Numenius	65VC	Numenius arquata	483SZ	
5V9X4	Anser brachyrhynchus Baillon, 1834	5V9X4	Anser brachyrhynchus Baillon, 1834	39	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Anseriformes	PQ	Anatidae	9H6K5	Anser	X5D	Anser brachyrhynchus	5V9X4	LC
5H6NR	Erithacus rubecula rubecula (Linnaeus, 1758)	5H6NR	Erithacus rubecula rubecula (Linnaeus, 1758)	6	SUBSPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Passeriformes	3RL	Muscicapidae	CZN	Erithacus	63425	Erithacus rubecula	6H2XM	
62H39	Branta Scopoli, 1769	62H39	Branta Scopoli, 1769	1	GENUS	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Anseriformes	PQ	Anatidae	9H6K5	Branta	62H39			
3W3QK	Lophonetta specularioides (P. P. King, 1828)	3W3QK	Lophonetta specularioides (P. P. King, 1828)	2	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Anseriformes	PQ	Anatidae	9H6K5	Lophonetta	5GM5	Lophonetta specularioides	3W3QK	LC
6N5PG	Ichthyaetus melanocephalus (Temminck, 1820)	6N5PG	Ichthyaetus melanocephalus (Temminck, 1820)	57	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Charadriiformes	X3	Laridae	BSK	Ichthyaetus	53DG	Ichthyaetus melanocephalus	6N5PG	LC
39FTJ	Emberiza pusilla Pallas, 1776	39FTJ	Emberiza pusilla Pallas, 1776	3	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Passeriformes	3RL	Emberizidae	9N5	Emberiza	4B69	Emberiza pusilla	39FTJ	LC
72DFK	Limnodromus scolopaceus (Say, 1822)	72DFK	Limnodromus scolopaceus (Say, 1822)	3	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Charadriiformes	X3	Scolopacidae	G4X	Limnodromus	62YJV	Limnodromus scolopaceus	72DFK	NT
59PNF	Turdus viscivorus Linnaeus, 1758	59PNF	Turdus viscivorus Linnaeus, 1758	51	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Passeriformes	3RL	Turdidae	T4K9X	Turdus	647VS	Turdus viscivorus	59PNF	LC
5KXQR	Riparia riparia riparia (Linnaeus, 1758)	5KXQR	Riparia riparia riparia (Linnaeus, 1758)	3	SUBSPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Passeriformes	3RL	Hirundinidae	B3Y	Riparia	63RR4	Riparia riparia	4T4PL	
5LC6Q	Sturnus vulgaris vulgaris Linnaeus, 1758	5LC6Q	Sturnus vulgaris vulgaris Linnaeus, 1758	13	SUBSPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Passeriformes	3RL	Sturnidae	GRP	Sturnus	7PLY	Sturnus vulgaris	5384V	
5XX6Q	Chlidonias hybrida (Pallas, 1811)	5XX6Q	Chlidonias hybrida (Pallas, 1811)	6	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Charadriiformes	X3	Laridae	BSK	Chlidonias	62M8H	Chlidonias hybrida	5XX6Q	LC
67KF5	Anthus richardi Vieillot, 1818	67KF5	Anthus richardi Vieillot, 1818	3	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Passeriformes	3RL	Motacillidae	CYC	Anthus	XJ7	Anthus richardi	67KF5	LC
7KQMR	Regulus regulus regulus (Linnaeus, 1758)	7KQMR	Regulus regulus regulus (Linnaeus, 1758)	9	SUBSPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Passeriformes	3RL	Regulidae	FL3	Regulus	77JH	Regulus regulus	78SHD	
5Y972	Chlidonias niger (Linnaeus, 1758)	5Y972	Chlidonias niger (Linnaeus, 1758)	7	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Charadriiformes	X3	Laridae	BSK	Chlidonias	62M8H	Chlidonias niger	5Y972	LC
3FFP6	Gavia immer (Brünnich, 1764)	3FFP6	Gavia immer (Brünnich, 1764)	16	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Gaviiformes	396	Gaviidae	6247R	Gavia	4MHK	Gavia immer	3FFP6	LC
VG83	Circus macrourus (S. G. Gmelin, 1770)	VG83	Circus macrourus (S. G. Gmelin, 1770)	5	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Accipitriformes	MB	Accipitridae	5W6	Circus	3Q54	Circus macrourus	VG83	NT
9L45	Acrocephalus agricola (Jerdon, 1845)	9L45	Acrocephalus agricola (Jerdon, 1845)	1	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Passeriformes	3RL	Acrocephalidae	5YC	Acrocephalus	NC3	Acrocephalus agricola	9L45	LC
5GZFT	Dryocopus martius martius (Linnaeus, 1758)	5GZFT	Dryocopus martius martius (Linnaeus, 1758)	7	SUBSPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Piciformes	3TR	Picidae	625L8	Dryocopus	48HQ	Dryocopus martius	37VCZ	
7JDVX	Athene noctua vidalii A. E. Brehm, 1857	7JDVX	Athene noctua vidalii A. E. Brehm, 1857	9	SUBSPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Strigiformes	466	Strigidae	GQX	Athene	34YQ	Athene noctua	687BR	
5H366	Elanus caeruleus caeruleus (Desfontaines, 1789)	5H366	Elanus caeruleus caeruleus (Desfontaines, 1789)	2	SUBSPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Accipitriformes	MB	Accipitridae	5W6	Elanus	6332H	Elanus caeruleus	38YJ7	
5JN2P	Mergus merganser merganser Linnaeus, 1758	5JN2P	Mergus merganser merganser Linnaeus, 1758	2	SUBSPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Anseriformes	PQ	Anatidae	9H6K5	Mergus	5P8Q	Mergus merganser	3ZTRN	
3SBQ4	Larus delawarensis Ord, 1815	3SBQ4	Larus delawarensis Ord, 1815	6	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Charadriiformes	X3	Laridae	BSK	Larus	62XFH	Larus delawarensis	3SBQ4	LC
34Q36	Dendrocygna viduata (Linnaeus, 1766)	34Q36	Dendrocygna viduata (Linnaeus, 1766)	1	SPECIES	ACCEPTED	Animalia	N	Chordata	CH2	Aves	V2	Anseriformes	PQ	Anatidae	9H6K5	Dendrocygna	42Z7	Dendrocygna viduata	34Q36	LC
