"species","speciesKey","occurences","family","iucnRedListCategory","abundance_rank","shannon_info"
"Columba palumbus","XBGG",43100,"Columbidae","LC",1,4.85309256035677
"Corvus corone","YNHJ",35496,"Corvidae","LC",2,5.13312397140037
"Turdus merula","7CYVX",34510,"Turdidae","LC",3,5.17376595589771
"Parus major","75SVV",33537,"Paridae","LC",4,5.2150267890306
"Pica pica","4HPXM",29916,"Corvidae","LC",5,5.37986314100793
"Cyanistes caeruleus","32NH2",29352,"Paridae","LC",6,5.40732161997205
"Coloeus monedula","X733",29127,"Corvidae","LC",7,5.41842331411823
"Fringilla coelebs","6JPSJ",26896,"Fringillidae","LC",8,5.53338879998442
"Erithacus rubecula","6H2XM",26885,"Muscicapidae","LC",9,5.53397895805776
"Anas platyrhynchos","DGP6",25835,"Anatidae","LC",10,5.59145354590837
"Chroicocephalus ridibundus","5YGFK",23961,"Laridae","LC",11,5.70009231015315
"Troglodytes troglodytes","598TT",23678,"Troglodytidae","LC",12,5.71723320309355
"Phylloscopus collybita","6VFMH",23172,"Phylloscopidae","LC",13,5.74839785954878
"Fulica atra","6K3W6",20851,"Rallidae","LC",14,5.90066385365372
"Passer domesticus","4DXXM",18563,"Passeridae","LC",15,6.06835054380862
"Sturnus vulgaris","5384V",18227,"Sturnidae","LC",16,6.09470330336184
"Phalacrocorax carbo","4FQQC",18157,"Phalacrocoracidae","LC",17,6.10025457740895
"Buteo buteo","NYV7",17833,"Accipitridae","LC",18,6.12623100539298
"Streptopelia decaocto","6ZXPP",17677,"Columbidae","LC",19,6.1389069769082
"Ardea cinerea","GCHS",17549,"Ardeidae","LC",20,6.14939160632905
"Prunella modularis","4N8CC",15410,"Prunellidae","LC",21,6.33691356781844
"Gallinula chloropus","3F6VX",15276,"Rallidae","LC",22,6.34951360459808
"Larus argentatus","3SBPN",14651,"Laridae","LC",23,6.40978129090728
"Sylvia atricapilla","53N3J",13201,"Sylviidae","LC",24,6.56013320914831
"Dendrocopos major","6CJDB",13168,"Picidae","LC",25,6.56374418879896
"Branta canadensis","5WRC3",12532,"Anatidae","LC",26,6.63516375484954
"Garrulus glandarius","6JYHZ",12369,"Corvidae","LC",27,6.65405156261137
"Podiceps cristatus","782YB",12062,"Podicipedidae","LC",28,6.69031128936056
"Mareca strepera","9HJGV",12000,"Anatidae","LC",29,6.69774602383735
"Vanellus vanellus","7FFJL",11925,"Charadriidae","NT",30,6.70679116344035
"Hirundo rustica","3M4S7",11777,"Hirundinidae","LC",31,6.72480834689756
"Picus viridis","4HR3F",11606,"Picidae","LC",32,6.74590959566724
"Aythya fuligula","5VYJV",11572,"Anatidae","LC",33,6.75014220129099
"Anser anser","679X7",10878,"Anatidae","LC",34,6.83936709875528
"Falco tinnunculus","3DTGW",10673,"Falconidae","LC",35,6.86681467930169
"Columba livia","XBFW",10490,"Columbidae","LC",36,6.89176575175596
"Alopochen aegyptiaca","C5KM",10340,"Anatidae","LC",37,6.91254424401829
"Turdus philomelos","59PMR",10275,"Turdidae","LC",38,6.92164203576418
"Motacilla alba","44G99",10233,"Motacillidae","LC",39,6.92755126888603
"Larus fuscus","3SBQ9",10053,"Laridae","LC",40,6.95315433729496
"Tadorna tadorna","54GHV",10016,"Anatidae","LC",41,6.95847396228797
"Chloris chloris","5XWQ6",9550,"Fringillidae","LC",42,7.02720779141012
"Cygnus olor","32ZQB",9120,"Anatidae","LC",43,7.09367470016849
"Aegithalos caudatus","64WQQ",8823,"Aegithalidae","LC",44,7.14143923961237
"Spatula clypeata","9HKHD",8675,"Anatidae","LC",45,7.1658447668676
"Certhia brachydactyla","69N9M",8594,"Certhiidae","LC",46,7.17937874744665
"Ardea alba","GCHR",8160,"Ardeidae","LC",47,7.25413937236173
"Haematopus ostralegus","3J8XQ",7847,"Haematopodidae","NT",48,7.31056732435756
"Anas crecca","DGND",7728,"Anatidae","LC",49,7.33261343038482
"Cettia cetti","T77T",7678,"Cettiidae","LC",50,7.34197796437364
"Carduelis carduelis","R6J7",7643,"Fringillidae","LC",51,7.34856949420453
"Columba oenas","5ZQ9C",7514,"Columbidae","LC",52,7.37312740857882
"Anthus pratensis","67KF6",7196,"Motacillidae","LC",53,7.43551333796911
"Phasianus colchicus","4FWMN",7083,"Phasianidae","LC",54,7.45834798227079
"Tachybaptus ruficollis","54C7M",6678,"Podicipedidae","LC",55,7.54329243115747
"Apus apus","FZD9",6660,"Apodidae","LC",56,7.54718634726196
"Aythya ferina","K56T",6524,"Anatidae","VU",57,7.57695174250871
"Sitta europaea","6Z52Z",6350,"Sittidae","LC",58,7.6159519326737
"Larus canus","3SBPZ",6287,"Laridae","LC",59,7.63033676144213
"Curruca communis","DDBNS",6230,"Sylviidae","LC",60,7.64347636130923
"Emberiza schoeniclus","39FTN",6217,"Emberizidae","LC",61,7.64648994568314
"Regulus regulus","78SHD",6093,"Regulidae","LC",62,7.67555578420328
"Alauda arvensis","BFFT",5897,"Alaudidae","LC",63,7.72272733039867
"Numenius arquata","483SZ",5892,"Scolopacidae","NT",64,7.72395109418474
"Accipiter nisus","93VP",5663,"Accipitridae","LC",65,7.78114199473301
"Actitis hypoleucos","64QTG",5638,"Scolopacidae","LC",66,7.78752504665017
"Tringa totanus","58VJH",5392,"Scolopacidae","LC",67,7.85188802803873
"Linaria cannabina","72F75",5272,"Fringillidae","LC",68,7.88435815421254
"Mareca penelope","9HJGS",5094,"Anatidae","LC",69,7.9339095649464
"Phoenicurus ochruros","4GKQX",5063,"Muscicapidae","LC",70,7.94271604031078
"Acrocephalus scirpaceus","9L82",4983,"Acrocephalidae","LC",71,7.96569395053706
"Egretta garzetta","6DYRB",4954,"Ardeidae","LC",72,7.97411465597423
"Turdus iliacus","59PLT",4932,"Turdidae","LC",73,7.98053572481775
"Alcedo atthis","667V7",4739,"Alcedinidae","LC",74,8.03812586358799
"Circus aeruginosus","5Z6WQ",4733,"Accipitridae","LC",75,8.03995360248223
"Motacilla cinerea","44G9B",4709,"Motacillidae","LC",76,8.04728780192106
"Platalea leucorodia","4JMRD",4694,"Threskiornithidae","LC",77,8.05189068269742
"Psittacula krameri","4PKCM",4594,"Psittaculidae","LC",78,8.08295766784267
"Tringa ochropus","58VJC",4544,"Scolopacidae","LC",79,8.09874568971591
"Cuculus canorus","6BPL3",4460,"Cuculidae","LC",80,8.12566481441292
"Saxicola rubicola","6Y2RF",4457,"Muscicapidae","",81,8.12663556360794
"Delichon urbicum","34GHX",4440,"Hirundinidae","LC",82,8.13214884798312
"Tringa nebularia","58VJB",4282,"Scolopacidae","LC",83,8.18442372883508
"Motacilla flava","44G9F",4269,"Motacillidae","LC",84,8.18881036197295
"Gallinago gallinago","3F6V9",4237,"Scolopacidae","LC",85,8.1996653958567
"Branta leucopsis","N74C",4114,"Anatidae","LC",86,8.24216673069566
"Spinus spinus","4Z65Y",3992,"Fringillidae","LC",87,8.28559680388333
"Corvus frugilegus","YNHT",3728,"Corvidae","LC",88,8.38430666456631
"Limosa limosa","72FCR",3669,"Scolopacidae","NT",89,8.40732161997205
"Phylloscopus trochilus","77FNC",3554,"Phylloscopidae","LC",90,8.45326484319191
"Regulus ignicapilla","4RPW7",3508,"Regulidae","LC",91,8.47205977677586
"Turdus pilaris","59PMS",3499,"Turdidae","LC",92,8.47576585998074
"Fringilla montifringilla","6JPSG",3409,"Fringillidae","LC",93,8.51335992508064
"Passer montanus","4DXY4",3395,"Passeridae","LC",94,8.5192969500885
"Sterna hirundo","6ZSCT",3280,"Laridae","LC",95,8.56901270971514
"Falco peregrinus","3DTGL",3275,"Falconidae","LC",96,8.57121361790841
"Ichthyaetus melanocephalus","6N5PG",3259,"Laridae","LC",97,8.57827917248203
"Charadrius dubius","5XPL5",3161,"Charadriidae","",98,8.62232748931609
"Anser albifrons","679WV",3129,"Anatidae","LC",99,8.63700686597967
"Calidris pugnax","9HCHQ",3127,"Scolopacidae","LC",100,8.63792930529555
"Anas acuta","DGMX",3120,"Anatidae","LC",101,8.64116249547098
"Ciconia ciconia","5Z5T3",3118,"Ciconiidae","LC",102,8.6420875965228
"Oenanthe oenanthe","48X9H",2868,"Muscicapidae","LC",103,8.76266350051869
"Recurvirostra avosetta","4RP59",2819,"Recurvirostridae","LC",104,8.78752504665017
"Luscinia svecica","3WFWC",2797,"Muscicapidae","LC",105,8.7988282707444
"Calidris alpina","PK42",2776,"Scolopacidae","NT",106,8.80970095664233
"Sylvia borin","53N3M",2756,"Sylviidae","LC",107,8.8201326365163
"Larus marinus","3SBQM",2727,"Laridae","LC",108,8.83539382430533
