taxonKey	 scientificName                                             	 acceptedTaxonKey	 acceptedScientificName                                     	 numberOfOccurrences	 taxonRank 	 taxonomicStatus       	 kingdom 	 kingdomKey	 phylum  	 phylumKey	 class	 classKey	 order            	 orderKey	 family           	 familyKey	 genus          	 genusKey	 species                              	 speciesKey	 iucnRedListCategory
 2480537	 Buteo buteo (Linnaeus, 1758)                               	          2480537	 Buteo buteo (Linnaeus, 1758)                               	              361535	 SPECIES   	 ACCEPTED              	 Animalia	          1	 Chordata	        44	 Aves 	      212	 Accipitriformes  	  7191147	 Accipitridae     	      2877	 Buteo          	  2480517	 Buteo buteo                          	    2480537	 LC
 2490719	 Turdus merula Linnaeus, 1758                               	          2490719	 Turdus merula Linnaeus, 1758                               	              307719	 SPECIES   	 ACCEPTED              	 Animalia	          1	 Chordata	        44	 Aves 	      212	 Passeriformes    	      729	 Turdidae         	      5290	 Turdus         	  2490714	 Turdus merula                        	    2490719	 LC
 2495455	 Columba palumbus Linnaeus, 1758                            	          2495455	 Columba palumbus Linnaeus, 1758                            	              292311	 SPECIES   	 ACCEPTED              	 Animalia	          1	 Chordata	        44	 Aves 	      212	 Columbiformes    	     1446	 Columbidae       	      5233	 Columba        	  2495404	 Columba palumbus                     	    2495455	 LC
 2494422	 Fringilla coelebs Linnaeus, 1758                           	          2494422	 Fringilla coelebs Linnaeus, 1758                           	              261833	 SPECIES   	 ACCEPTED              	 Animalia	          1	 Chordata	        44	 Aves 	      212	 Passeriformes    	      729	 Fringillidae     	      5242	 Fringilla      	  2494421	 Fringilla coelebs                    	    2494422	 LC
 9705453	 Parus major Linnaeus, 1758                                 	          9705453	 Parus major Linnaeus, 1758                                 	              250525	 SPECIES   	 ACCEPTED              	 Animalia	          1	 Chordata	        44	 Aves 	      212	 Passeriformes    	      729	 Paridae          	      9327	 Parus          	  2487923	 Parus major                          	    9705453	 LC
 2493091	 Phylloscopus collybita (Vieillot, 1817)                    	          2493091	 Phylloscopus collybita (Vieillot, 1817)                    	              240001	 SPECIES   	 ACCEPTED              	 Animalia	          1	 Chordata	        44	 Aves 	      212	 Passeriformes    	      729	 Phylloscopidae   	   6100963	 Phylloscopus   	  2493047	 Phylloscopus collybita               	    2493091	 LC
 2492462	 Erithacus rubecula (Linnaeus, 1758)                        	          2492462	 Erithacus rubecula (Linnaeus, 1758)                        	              233559	 SPECIES   	 ACCEPTED              	 Animalia	          1	 Chordata	        44	 Aves 	      212	 Passeriformes    	      729	 Muscicapidae     	      9322	 Erithacus      	  2492460	 Erithacus rubecula                   	    2492462	 LC
 5231438	 Troglodytes troglodytes (Linnaeus, 1758)                   	          5231438	 Troglodytes troglodytes (Linnaeus, 1758)                   	              232453	 SPECIES   	 ACCEPTED              	 Animalia	          1	 Chordata	        44	 Aves 	      212	 Passeriformes    	      729	 Troglodytidae    	      9355	 Troglodytes    	  2493899	 Troglodytes troglodytes              	    5231438	 LC
 9761484	 Anas platyrhynchos Linnaeus, 1758                          	          9761484	 Anas platyrhynchos Linnaeus, 1758                          	              225564	 SPECIES   	 ACCEPTED              	 Animalia	          1	 Chordata	        44	 Aves 	      212	 Anseriformes     	     1108	 Anatidae         	      2986	 Anas           	  2498056	 Anas platyrhynchos                   	    9761484	 LC
 9797180	 Ardea cinerea Linnaeus, 1758                               	          9797180	 Ardea cinerea Linnaeus, 1758                               	              222189	 SPECIES   	 ACCEPTED              	 Animalia	          1	 Chordata	        44	 Aves 	      212	 Pelecaniformes   	  7190953	 Ardeidae         	      3685	 Ardea          	  2480922	 Ardea cinerea                        	    9797180	 LC
 9409796	 Corvus corone Linnaeus, 1758                               	          9409796	 Corvus corone Linnaeus, 1758                               	              201637	 SPECIES   	 ACCEPTED              	 Animalia	          1	 Chordata	        44	 Aves 	      212	 Passeriformes    	      729	 Corvidae         	      5235	 Corvus         	  2482468	 Corvus corone                        	    9409796	 LC
 2487879	 Cyanistes caeruleus (Linnaeus, 1758)                       	          2487879	 Cyanistes caeruleus (Linnaeus, 1758)                       	              191450	 SPECIES   	 ACCEPTED              	 Animalia	          1	 Chordata	        44	 Aves 	      212	 Passeriformes    	      729	 Paridae          	      9327	 Cyanistes      	  2487875	 Cyanistes caeruleus                  	    2487879	 LC
